ident,type,description,mhz
KLEM,UNIC,CTAF/UNICOM,122.800
KLEW,APP,PORTLAND APP,124.050
KLEW,AWOS,AWOS 3,118.025
KLEW,CLD,PORTLAND CLNC DEL,124.050
KLEW,DEP,PORTLAND DEP,125.500
KLEW,UNIC,CTAF/UNICOM,122.800
KLEX,A/D,LEXINGTON APP/DEP,120.150
KLEX,ATIS,ATIS,126.300
KLEX,CLD,CLNC DEL,132.350
KLEX,GND,GND,121.900
KLEX,TWR,LEXINGTON TWR,119.100
KLEX,UNIC,UNICOM,122.950
KLFI,A/D,NORFOLK APP/DEP,124.900
KLFI,ATIS,ATIS,27.010
KLFI,CLD,CLNC DEL,118.850
KLFI,GND,GND,121.700
KLFI,OPS,NASA OPS,123.375
KLFI,PMSV,PMSV METRO,23.980
KLFI,POST,CNSOLIDATED CMD POST,25.125
KLFI,PTD,PTD,141.750
KLFI,TWR,TWR,125.000
KLFK,ASOS,ASOS,120.625
KLFK,CNTR,HOUSTON CNTR,134.800
KLFK,RDO,MONTGOMERY CO RDO,122.200
KLFK,UNIC,CTAF/UNICOM,123.000
KLFT,A/D,APP/DEP,121.100
KLFT,ATIS,ATIS,134.050
KLFT,CLD,CLNC DEL,125.550
KLFT,CTAF,CTAF,118.500
KLFT,GND,GND,121.800
KLFT,RDO,DE RIDDER RDO,122.350
KLFT,TWR,TWR,118.500
KLFT,UNIC,UNICOM,122.950
KLGA,APP,NEW YORK APP,118.000
KLGA,APP,NEW YORK APP,132.700
KLGA,ATIS,ATIS,125.950
KLGA,CLD,CLNC DEL,121.875
KLGA,DEP,NEW YORK DEP,120.400
KLGA,GND,GND,121.700
KLGA,TWR,TWR,118.700
KLGA,UNIC,UNICOM,122.950
KLGB,APP,SOCAL APP,124.650
KLGB,ATIS,ATIS,127.750
KLGB,CLD,CLNC DEL,118.150
KLGB,CTAF,CTAF,119.400
KLGB,DEP,SOCAL DEP,127.200
KLGB,GND,GND,133.000
KLGB,TWR,TWR,119.400
KLGB,UNIC,UNICOM,122.950
KLGC,A/D,ATLANTA APP/DEP,125.500
KLGC,AWOS,AWOS 3,126.325
KLGC,CLD,CLNC DEL,119.250
KLGC,RDO,MACON RDO,115.600
KLGC,UNIC,CTAF/UNICOM,122.975
KLGD,AWOS,AWOS 3,135.075
KLGD,CNTR,SEATTLE CNTR,132.600
KLGD,RDO,MC MINNVILLE RDO,122.500
KLGD,UNIC,CTAF/UNICOM,122.800
KLGF,APP,YUMA APP,125.550
KLGF,CTAF,CTAF,126.200
KLGF,DEP,YUMA DEP,120.000
KLGF,GND,GND,121.800
KLGF,MISC,RNG,119.000
KLGF,RDO,PRESCOTT RDO,122.200
KLGF,RFSS,SAN DIEGO RDO,122.600
KLGU,ASOS,ASOS,135.275
KLGU,RDO,CEDAR CITY RDO,122.200
KLGU,UNIC,CTAF/UNICOM,122.800
KLHB,AWOS,AWOS 3,118.675
KLHB,CTAF,CTAF,122.900
KLHM,A/D,NORCAL APP/DEP,125.400
KLHM,AWOS,AWOS 3,124.250
KLHM,UNIC,CTAF/UNICOM,123.000
KLHQ,A/D,COLUMBUS APP/DEP,132.300
KLHQ,ASOS,ASOS,118.375
KLHQ,CLD,CLNC DEL,121.650
KLHQ,CTAF,CTAF,122.725
KLHQ,RDO,DAYTON RDO,116.700
KLHV,CNTR,NEW YORK CNTR,134.800
KLHV,UNIC,CTAF/UNICOM,122.800
KLHW,APP,SAVANNAH APP,120.400
KLHW,CTAF,CTAF,127.350
KLHW,DEP,SAVANNAH DEP,118.400
KLHW,GND,GND,121.700
KLHW,MISC,FLT FLW,41.300
KLHW,OPS,BASE OPS,38.700
KLHW,RDO,MARNE RDO,41.300
KLHW,TWR,TWR,38.500
KLHX,ASOS,ASOS,135.525
KLHX,CNTR,DENVER CNTR,133.400
KLHX,RDO,DENVER RDO,122.600
KLHX,UNIC,CTAF/UNICOM,123.000
KLHZ,A/D,RALEIGH APP/DEP,125.300
KLHZ,AWOS,AWOS 3,118.325
KLHZ,UNIC,CTAF/UNICOM,123.000
KLIC,ASOS,ASOS,121.125
KLIC,CTAF,CTAF,122.900
KLIC,FSS,DENVER RDO,122.475
KLIT,A/D,LITTLE ROCK APP/DEP,119.500
KLIT,ATIS,ATIS,125.650
KLIT,CLD,CLNC DEL,118.950
KLIT,GND,GND,121.900
KLIT,RDO,JONESBORO RDO,122.200
KLIT,TWR,TWR,118.700
KLIT,UNIC,UNICOM,122.950
KLIU,A/D,LUBBOCK APP/DEP,119.900
KLIU,UNIC,CTAF/UNICOM,122.800
KLJF,AWOS,AWOS 3,109.000
KLJF,CNTR,MINNEAPOLIS CNTR,125.500
KLJF,CTAF,CTAF,122.900
KLJF,RDO,PRINCETON RDO,109.000
KLKP,CNTR,BOSTON CNTR,120.350
KLKP,UNIC,CTAF/UNICOM,122.800
KLKR,A/D,CHARLOTTE APP/DEP,120.050
KLKR,UNIC,CTAF/UNICOM,122.725
KLKU,A/D,POTOMAC APP/DEP,132.850
KLKU,AWOS,AWOS 3,119.475
KLKU,UNIC,CTAF/UNICOM,122.725
KLKV,AWOS,AWOS 3,135.525
KLKV,CNTR,SEATTLE CNTR,127.600
KLKV,RDO,MC MINNVILLE RDO,122.300
KLKV,UNIC,CTAF/UNICOM,122.800
KLLJ,ASOS,ASOS,119.275
KLLJ,CNTR,SALT LAKE CITY CNTR,128.050
KLLJ,RDO,BOISE RDO,122.600
KLLJ,UNIC,CTAF/UNICOM,122.800
KLLN,A/D,LUBBOCK APP/DEP,119.900
KLLN,UNIC,CTAF/UNICOM,122.800
KLLQ,ASOS,ASOS,133.325
KLLQ,CNTR,MEMPHIS CNTR,135.875
KLLQ,FSS,JONESBORO RDO,122.100
KLLQ,UNIC,CTAF/UNICOM,122.800
KLLR,CNTR,OAKLAND CNTR,132.200
KLLR,UNIC,CTAF/UNICOM,122.700
KLLU,CNTR,KANSAS CITY CNTR,128.600
KLLU,CTAF,CTAF,122.900
KLMO,AWOS,,120.000
KLMO,CTAF,Longmont Traffic,122.975
KLMS,CNTR,MEMPHIS CNTR,135.750
KLMS,UNIC,CTAF/UNICOM,122.700
KLMT,A/D,KINGSLEY APP/DEP,123.675
KLMT,ATIS,ATIS,126.500
KLMT,CTAF,CTAF,118.200
KLMT,GND,GND,121.900
KLMT,OPS,ANG BASE OPS,38.895
KLMT,RDO,MC MINNVILLE RDO,122.600
KLMT,TWR,KINGSLEY TWR,118.200
KLMT,UNIC,UNICOM,122.950
KLNA,A/D,APP/DEP,127.350
KLNA,RDO,MIAMI RDO,122.400
KLNA,UNIC,CTAF/UNICOM,122.700
KLNC,A/D,RGNL APP/DEP,125.200
KLNC,AWOS,AWOS 3,118.975
KLNC,UNIC,CTAF/UNICOM,122.700
KLND,ASOS,ASOS,118.150
KLND,UNIC,CTAF/UNICOM,122.800
KLNK,A/D,APP/DEP,124.000
KLNK,ATIS,ATIS,118.050
KLNK,CLD,CLNC DEL,120.700
KLNK,CTAF,CTAF,118.500
KLNK,GND,GND,121.900
KLNK,MISC,ARNG OPS,123.075
KLNK,OPS,ANG OPS,25.960
KLNK,RDO,COLUMBUS RDO,122.650
KLNK,TWR,TWR,118.500
KLNK,UNIC,UNICOM,122.950
KLNL,AWOS,AWOS 3,119.525
KLNL,CNTR,MINNEAPOLIS CNTR,133.650
KLNL,UNIC,CTAF/UNICOM,122.800
KLNN,A/D,CLEVELAND APP/DEP,125.350
KLNN,UNIC,CTAF/UNICOM,122.725
KLNP,AWOS,AWOS 3,118.600
KLNP,CNTR,INDIANAPOLIS CNTR,126.570
KLNP,UNIC,CTAF/UNICOM,123.000
KLNR,A/D,MADISON APP/DEP,135.450
KLNR,ASOS,ASOS,119.425
KLNR,RDO,GREEN BAY RDO,122.350
KLNR,UNIC,CTAF/UNICOM,123.000
KLNS,A/D,HARRISBURG APP/DEP,126.450
KLNS,ATIS,ATIS,125.675
KLNS,CTAF,CTAF,120.900
KLNS,GND,GND,121.800
KLNS,RDO,WILLIAMSPORT RDO,117.300
KLNS,TWR,TWR,120.900
KLNS,UNIC,UNICOM,122.950
KLOL,ASOS,ASOS,120.675
KLOL,CNTR,OAKLAND CNTR,128.800
KLOL,FSS,RENO RDO,122.400
KLOL,UNIC,CTAF/UNICOM,122.800
KLOM,A/D,PHILADELPHIA APP/DEP,126.850
KLOM,AWOS,AWOS 3,118.925
KLOM,CLD,CLNC DEL,118.550
KLOM,UNIC,CTAF/UNICOM,123.000
KLOT,A/D,CHICAGO APP/DEP,119.350
KLOT,AWOS,AWOS 3,118.525
KLOT,FSS,KANKAKEE RDO,122.500
KLOT,UNIC,CTAF/UNICOM,122.800
KLOU,A/D,LOUISVILLE APP/DEP,123.675
KLOU,ATIS,ATIS,112.200
KLOU,CLD,CLNC DEL,118.900
KLOU,CTAF,CTAF,119.500
KLOU,GND,GND,121.800
KLOU,RDO,LOUISVILLE RDO,122.200
KLOU,TWR,TWR,119.500
KLOU,UNIC,UNICOM,122.950
KLOZ,ASOS,ASOS,119.075
KLOZ,CNTR,INDIANAPOLIS CNTR,121.325
KLOZ,RDO,LOUISVILLE RDO,122.200
KLOZ,UNIC,CTAF/UNICOM,123.000
KLPC,A/D,SANTA BARB APP/DEP,124.150
KLPC,AWOS,AWOS 3,133.875
KLPC,UNIC,CTAF/UNICOM,122.700
KLPR,A/D,CLEVELAND APP/DEP,126.350
KLPR,ASOS,ASOS,121.425
KLPR,CLD,CLEVELAND CLNC DEL,125.700
KLPR,UNIC,CTAF/UNICOM,122.700
KLQK,A/D,GREER APP/DEP,118.800
KLQK,AWOS,AWOS 3,120.000
KLQK,UNIC,CTAF/UNICOM,122.800
KLQR,A/D,KANSAS CITY CNTR,124.400
KLQR,RDO,WICHITA RDO,122.500
KLQR,UNIC,CTAF/UNICOM,122.800
KLRD,ATIS,ATIS,125.775
KLRD,CNTR,HOUSTON CNTR,127.800
KLRD,CTAF,CTAF,120.100
KLRD,GND,GND,121.800
KLRD,RDO,SAN ANGELO RDO,122.300
KLRD,TWR,TWR,120.100
KLRD,UNIC,UNICOM,122.950
KLRF,A/D,APP/DEP,119.500
KLRF,ATIS,ATIS,25.110
KLRF,CLD,CLNC DEL,25.350
KLRF,GND,GND,132.800
KLRF,MISC,ANG COMD POST,143.800
KLRF,PMSV,PMSV METRO,23.980
KLRF,POST,COMD POST,34.940
KLRF,PTD,PTD,37.220
KLRF,TWR,TWR,120.600
KLRG,CNTR,BOSTON CNTR,124.250
KLRG,UNIC,CTAF/UNICOM,122.800
KLRJ,A/D,SIOUX CITY APP/DEP,124.600
KLRJ,AWOS,AWOS 3,125.525
KLRJ,UNIC,CTAF/UNICOM,122.800
KLRO,A/D,CHARLESTON APP/DEP,135.800
KLRO,UNIC,CTAF/UNICOM,122.700
KLRU,AWOS,AWOS 3,119.025
KLRU,CNTR,ALBUQUERQUE CNTR,128.200
KLRU,UNIC,CTAF/UNICOM,122.700
KLRY,A/D,KANSAS CITY CNTR,125.550
KLRY,AWOS,AWOS 3,119.975
KLRY,UNIC,CTAF/UNICOM,123.000
KLSB,UNIC,CTAF/UNICOM,122.800
KLSE,ATIS,ATIS,124.950
KLSE,CNTR,MINNEAPOLIS CNTR,128.600
KLSE,CTAF,CTAF,118.450
KLSE,GND,GND,121.800
KLSE,RDO,GREEN BAY RDO,122.200
KLSE,TWR,TWR,118.450
KLSE,UNIC,UNICOM,122.950
KLSF,A/D,ATLANTA APP/DEP,125.500
KLSF,ATIS,ATIS,134.375
KLSF,CLD,CLNC DEL,121.700
KLSF,GND,GND,121.050
KLSF,PMSV,PMSV METRO,34.320
KLSF,PTD,PTD/BASE OPS,134.100
KLSF,TWR,TWR,119.050
KLSK,UNIC,CTAF/UNICOM,122.800
KLSN,A/D,NORCAL APP/DEP,120.950
KLSN,AWOS,AWOS 3,118.675
KLSN,RDO,RANCHO RDO,112.600
KLSN,UNIC,CTAF/UNICOM,122.800
KLSV,ACP,ALCE AMC,25.735
KLSV,APP,APP,118.125
KLSV,ATIS,ATIS,27.010
KLSV,CLD,CLNC DEL,120.900
KLSV,DEP,DEP,135.100
KLSV,GND,GND,121.800
KLSV,MISC,SOF,30.560
KLSV,PMSV,PMSV METRO,32.390
KLSV,POST,ACC COMD POST,32.000
KLSV,PTD,PTD,139.300
KLSV,TWR,TWR,132.550
KLTS,APP,APP,125.100
KLTS,ATIS,ATIS,27.350
KLTS,CLD,CLNC DEL,120.650
KLTS,DEP,DEP,125.100
KLTS,GND,GND,121.850
KLTS,PMSV,PMSV METRO,23.980
KLTS,POST,COMD POST,31.100
KLTS,PTD,PTD,37.220
KLTS,TWR,TWR,119.650
KLTY,UNIC,CTAF/UNICOM,122.800
KLUD,A/D,RGNL APP/DEP,118.100
KLUD,AWOS,AWOS 3,118.225
KLUD,UNIC,CTAF/UNICOM,122.800
KLUF,A/D,APP/DEP,120.700
KLUF,ATIS,ATIS,134.925
KLUF,CLD,CLNC DEL,126.250
KLUF,GND,GND,133.175
KLUF,PMSV,PMSV METRO,26.740
KLUF,POST,COMD POST,34.940
KLUF,PTD,PTD,37.220
KLUF,TWR,TWR,119.100
KLUG,AWOS,AWOS 3,135.775
KLUG,CNTR,MEMPHIS CNTR,126.750
KLUG,UNIC,CTAF/UNICOM,122.800
KLUK,A/D,APP/DEP,121.000
KLUK,ATIS,ATIS,120.250
KLUK,CLD,CLNC DEL,121.900
KLUK,CTAF,CTAF,118.700
KLUK,GND,GND,121.900
KLUK,RDO,DAYTON RDO,122.400
KLUK,TWR,LUNKEN TWR,118.700
KLUK,UNIC,UNICOM,122.950
KLUL,AWOS,AWOS 3,119.275
KLUL,CNTR,HOUSTON CNTR,123.500
KLUL,RDO,GREENWOOD RDO,122.300
KLUL,UNIC,CTAF/UNICOM,123.050
KLUM,A/D,MINNEAPOLIS APP/DEP,125.300
KLUM,AWOS,AWOS 3,118.025
KLUM,UNIC,CTAF/UNICOM,122.700
KLUX,A/D,GREER APP/DEP,120.600
KLUX,UNIC,CTAF/UNICOM,122.800
KLVJ,A/D,HOUSTON APP/DEP,134.450
KLVJ,ASOS,ASOS,118.525
KLVJ,CLD,CLNC DEL,124.000
KLVJ,UNIC,CTAF/UNICOM,122.800
KLVK,A/D,NORCAL APP/DEP,123.850
KLVK,ATIS,ATIS,119.650
KLVK,CTAF,CTAF,118.100
KLVK,GND,GND,121.600
KLVK,TWR,TWR,118.100
KLVK,UNIC,UNICOM,122.950
KLVL,CNTR,WASHINGTON CNTR,132.850
KLVL,RDO,LEESBURG RDO,112.900
KLVL,UNIC,CTAF/UNICOM,122.800
KLVM,ASOS,ASOS,135.275
KLVM,RDO,GREAT FALLS RDO,122.200
KLVM,UNIC,CTAF/UNICOM,123.000
KLVN,A/D,MINNEAPOLIS APP/DEP,125.000
KLVN,AWOS,AWOS 3,115.700
KLVN,CLD,CLNC DEL,118.950
KLVN,RDO,PRINCETON RDO,115.700
KLVN,UNIC,CTAF/UNICOM,123.000
KLVS,ASOS,ASOS,118.525
KLVS,CNTR,ALBUQUERQUE CNTR,132.800
KLVS,RDO,ALBUQUERQUE RDO,122.600
KLVS,UNIC,CTAF/UNICOM,122.800
KLWA,AWOS,AWOS 3,118.025
KLWA,CNTR,CHICAGO CNTR,128.500
KLWA,RDO,LANSING RDO,112.100
KLWA,UNIC,CTAF/UNICOM,122.800
KLWB,AWOS,AWOS 3,121.400
KLWB,CLD,CLNC DEL,120.850
KLWB,CNTR,WASHINGTON CNTR,134.400
KLWB,CTAF,CTAF,118.900
KLWB,GND,GND,121.900
KLWB,TWR,LEWISBURG TWR,118.900
KLWB,UNIC,UNICOM,122.950
KLWC,ASOS,ASOS,121.225
KLWC,CLD,CLNC DEL,121.825
KLWC,CNTR,KANSAS CITY CNTR,123.800
KLWC,UNIC,CTAF/UNICOM,123.000
KLWL,RDO,RENO RDO,114.200
KLWL,UNIC,CTAF/UNICOM,122.800
KLWM,A/D,BOSTON APP/DEP,124.400
KLWM,ASOS,ASOS,126.750
KLWM,ATIS,ATIS,126.750
KLWM,CLD,CLNC DEL,124.300
KLWM,CTAF,CTAF,119.250
KLWM,GND,GND,124.300
KLWM,RDO,BRIDGEPORT RDO,112.500
KLWM,TWR,TWR,119.250
KLWM,UNIC,UNICOM,122.800
KLWS,ASOS,ASOS,135.575
KLWS,CNTR,SEATTLE CNTR,123.950
KLWS,CTAF,CTAF,119.400
KLWS,GND,GND,121.900
KLWS,RDO,BOISE RDO,122.350
KLWS,TWR,TWR,119.400
KLWS,UNIC,UNICOM,122.950
KLWT,ASOS,ASOS,118.375
KLWT,RDO,GREAT FALLS RDO,122.350
KLWT,UNIC,CTAF/UNICOM,123.000
KLWV,A/D,EVANSVILLE APP/DEP,125.600
KLWV,ASOS,ASOS,118.000
KLWV,UNIC,CTAF/UNICOM,122.800
KLXL,AWOS,AWOS 3,35.900
KLXL,CNTR,MINNEAPOLIS CNTR,118.050
KLXL,UNIC,CTAF/UNICOM,122.800
KLXN,AWOS,AWOS 3,121.025
KLXN,CNTR,DENVER CNTR,132.700
KLXN,UNIC,CTAF/UNICOM,123.000
KLXT,A/D,KANSAS CITY APP/DEP,119.000
KLXT,ASOS,ASOS,124.175
KLXT,CLD,CLNC DEL,118.450
KLXT,UNIC,CTAF/UNICOM,122.800
KLXV,ASOS,ASOS,118.375
KLXV,CNTR,DENVER CNTR,119.850
KLXV,UNIC,CTAF/UNICOM,122.800
KLXY,A/D,WACO APP/DEP,135.200
KLXY,UNIC,CTAF/UNICOM,122.800
KLYH,A/D,ROANOKE APP/DEP,125.470
KLYH,ATIS,ATIS,119.800
KLYH,CTAF,CTAF,127.650
KLYH,GND,GND,121.900
KLYH,RDO,LEESBURG RDO,109.200
KLYH,TWR,TWR,127.650
KLYH,UNIC,UNICOM,122.950
KLYO,CNTR,KANSAS CITY CNTR,118.800
KLYO,UNIC,CTAF/UNICOM,122.800
KLZD,APP/DEP,PROVIDENCE APPROACH,123.675
KLZD,AWOS-3,,119.125
KLZD,UNICOM,,123.000
KLZU,A/D,ATLANTA APP/DEP,126.975
KLZU,ATIS,ATIS,132.275
KLZU,CLD,ATLANTA CLNC DEL,134.000
KLZU,CTAF,CTAF,124.100
KLZU,GND,GND,121.800
KLZU,TWR,TWR,124.100
KLZU,UNIC,UNICOM,123.050
KLZZ,A/D,GRAY APP/DEP,120.075
KLZZ,AWOS,AWOS 3,119.075
KLZZ,RDO,SAN ANGELO RDO,122.550
KLZZ,UNIC,CTAF/UNICOM,122.800
KMAC,A/D,ATLANTA APP/DEP,124.200
KMAC,UNIC,CTAF/UNICOM,123.000
KMAE,A/D,FRESNO APP/DEP,119.450
KMAE,ASOS,ASOS,134.725
KMAE,UNIC,CTAF/UNICOM,122.800
KMAF,A/D,APP/DEP,121.100
KMAF,ATIS,ATIS,126.800
KMAF,CLD,CLNC DEL,118.050
KMAF,CTAF,CTAF,118.700
KMAF,GND,GND,121.900
KMAF,RDO,SAN ANGELO RDO,122.600
KMAF,TWR,TWR,118.700
KMAF,UNIC,UNICOM,122.950
KMAI,A/D,CAIRNS APP/DEP,133.750
KMAI,ASOS,ASOS,133.525
KMAI,RDO,GAINESVILLE RDO,114.000
KMAI,UNIC,CTAF/UNICOM,123.000
KMAL,CNTR,BOSTON CNTR,135.250
KMAL,UNIC,CTAF/UNICOM,122.800
KMAO,A/D,FLORENCE APP/DEP,135.250
KMAO,UNIC,CTAF/UNICOM,122.800
KMAW,AWOS,AWOS 3,119.825
KMAW,CNTR,MEMPHIS CNTR,133.650
KMAW,RDO,ST LOUIS RDO,111.200
KMAW,UNIC,CTAF/UNICOM,122.800
KMBG,ASOS,ASOS,121.425
KMBG,RDO,HURON RDO,122.350
KMBG,UNIC,CTAF/UNICOM,122.800
KMBL,AWOS,AWOS 3,111.400
KMBL,RDO,LANSING RDO,111.400
KMBL,UNIC,CTAF/UNICOM,122.800
KMBO,A/D,JACKSON APP/DEP,123.900
KMBO,AWOS,AWOS 3,119.125
KMBO,CLD,CLNC DEL,125.900
KMBO,UNIC,CTAF/UNICOM,122.800
KMBS,A/D,SAGINAW APP/DEP,120.950
KMBS,ATIS,ATIS,118.600
KMBS,CLD,CLNC DEL,121.850
KMBS,CTAF,CTAF,120.100
KMBS,GND,GND,121.700
KMBS,RDO,LANSING RDO,122.200
KMBS,TWR,SAGINAW TWR,120.100
KMBS,UNIC,UNICOM,122.950
KMBT,A/D,NASHVILLE APP/DEP,118.400
KMBT,A/D,NASHVILLE APP/DEP,128.450
KMBT,AWOS,AWOS 3,133.975
KMBT,CTAF,,123.075
KMBY,AWOS,AWOS 3,120.025
KMBY,RDO,COLUMBIA RDO,112.900
KMBY,UNIC,CTAF/UNICOM,122.700
KMCB,ASOS,ASOS,119.025
KMCB,CNTR,HOUSTON CNTR,133.500
KMCB,RDO,GREENWOOD RDO,122.200
KMCB,UNIC,CTAF/UNICOM,123.050
KMCC,A/D,NORCAL APP/DEP,127.400
KMCC,AWOS,AWOS 3,109.200
KMCC,INFO,USCG COMSTA SAN FRAN,312.300
KMCC,MISC,USCG SACRAMENTO,167.900
KMCC,PMSV,PMSV METRO,34.460
KMCC,UNIC,CTAF/UNICOM,122.975
KMCD,AWOS,AWOS 3,118.275
KMCD,CNTR,MINNEAPOLIS CNTR,134.600
KMCD,UNIC,CTAF/UNICOM,122.700
KMCE,A/D,NORCAL APP/DEP,120.950
KMCE,ASOS,ASOS,132.175
KMCE,UNIC,CTAF/UNICOM,122.700
KMCF,APP,TAMPA APP,124.950
KMCF,ATIS,ATIS,133.825
KMCF,DEP,TAMPA DEP,119.650
KMCF,GND,GND,118.575
KMCF,PMSV,PMSV METRO,34.460
KMCF,POST,6 AMW COMD POST,138.950
KMCF,PTD,PTD,37.220
KMCF,TWR,TWR,123.700
KMCI,APP,APP,120.950
KMCI,ATIS,ATIS,126.625
KMCI,CLD,CLNC DEL,135.700
KMCI,DEP,DEP,124.700
KMCI,GND,GND,121.650
KMCI,RDO,COLUMBIA RDO,122.650
KMCI,TWR,INTL TWR,125.750
KMCI,UNIC,UNICOM,122.950
KMCK,ASOS,ASOS,119.025
KMCK,CNTR,DENVER CNTR,118.475
KMCK,RDO,COLUMBUS RDO,122.600
KMCK,UNIC,CTAF/UNICOM,122.800
KMCN,A/D,ATLANTA APP/DEP,118.950
KMCN,ASOS,ASOS,120.775
KMCN,ATIS,ATIS,120.775
KMCN,CTAF,CTAF,128.200
KMCN,GND,GND,121.650
KMCN,RDO,MACON RDO,122.200
KMCN,TWR,MACON TWR,128.200
KMCN,UNIC,UNICOM,122.950
KMCO,A/D,APP/DEP,119.400
KMCO,ATIS,ATIS,121.250
KMCO,CLD,CLNC DEL,134.700
KMCO,GND,GND,121.800
KMCO,OPS,AR OPS,41.500
KMCO,RDO,ST PETERSBURG RDO,122.100
KMCO,RDO,ST PETERSBURG RDO,122.200
KMCO,TWR,TWR,118.450
KMCO,UNIC,UNICOM,122.950
KMCW,ASOS,ASOS,120.300
KMCW,CNTR,MINNEAPOLIS CNTR,127.300
KMCW,RDO,FORT DODGE RDO,122.600
KMCW,UNIC,CTAF/UNICOM,123.000
KMCX,CNTR,CHICAGO CNTR,123.850
KMCX,UNIC,CTAF/UNICOM,122.800
KMCZ,CNTR,WASHINGTON CNTR,135.500
KMCZ,CTAF,CTAF,122.800
KMDA,CTAF,CTAF,134.100
KMDA,OPS,ARNG OPS,36.900
KMDD,A/D,APP/DEP,124.600
KMDD,AWOS,AWOS 3,118.125
KMDD,CLD,CLNC DEL,121.800
KMDD,UNIC,CTAF/UNICOM,122.700
KMDF,CNTR,KANSAS CITY CNTR,126.950
KMDF,UNIC,CTAF/UNICOM,122.800
KMDH,ATIS,ATIS,119.850
KMDH,CNTR,KANSAS CITY CNTR,125.300
KMDH,CTAF,CTAF,125.350
KMDH,GND,GND,121.800
KMDH,TWR,CARBONDALE TWR,125.350
KMDH,UNIC,UNICOM,122.950
KMDQ,A/D,HUNTSVILLE APP/DEP,125.600
KMDQ,AWOS,AWOS 3,120.000
KMDQ,RDO,HUNTSVILLE RDO,121.725
KMDQ,UNIC,CTAF/UNICOM,123.000
KMDS,CNTR,MINNEAPOLIS CNTR,132.050
KMDS,UNIC,CTAF/UNICOM,122.800
KMDT,A/D,APP/DEP,118.250
KMDT,ATIS,ATIS,118.800
KMDT,GND,GND,121.700
KMDT,OPS,ANG OPS,39.510
KMDT,TWR,TWR,124.800
KMDW,A/D,APP/DEP,118.400
KMDW,ASOS,ASOS,132.750
KMDW,ATIS,ATIS,132.750
KMDW,CLD,CLNC DEL,121.850
KMDW,GND,GND,121.650
KMDW,TWR,TWR,118.700
KMDW,UNIC,UNICOM,122.950
KMDZ,AWOS,AWOS 3,119.025
KMDZ,CNTR,MINNEAPOLIS CNTR,124.400
KMDZ,UNIC,CTAF/UNICOM,122.800
KMEB,A/D,FAYETTEVILLE APP/DEP,127.800
KMEB,ASOS,ASOS,134.125
KMEB,UNIC,CTAF/UNICOM,122.700
KMEI,A/D,MERIDIAN APP/DEP,120.500
KMEI,ATIS,ATIS,126.475
KMEI,CTAF,CTAF,119.800
KMEI,GCA,GCA,125.125
KMEI,GND,GND,121.900
KMEI,POST,ANG OPS COMD POST,29.230
KMEI,RDO,GREENWOOD RDO,122.200
KMEI,TWR,TWR,119.800
KMEI,UNIC,UNICOM,122.950
KMEJ,CNTR,KANSAS CITY CNTR,134.000
KMEJ,UNIC,CTAF/UNICOM,122.800
KMEM,APP,APP,119.100
KMEM,APP,APP,33.830
KMEM,ATIS,ATIS,127.750
KMEM,CLD,CLNC DEL,125.200
KMEM,DEP,DEP,124.150
KMEM,GND,GND,121.650
KMEM,POST,ANG COMD POST,138.950
KMEM,RDO,JACKSON RDO,122.200
KMEM,TWR,TWR,118.300
KMEM,UNIC,UNICOM,122.950
KMER,A/D,NORCAL APP/DEP,120.950
KMER,AWOS,AWO 3,124.475
KMER,UNIC,CTAF/UNICOM,123.075
KMEV,A/D,RENO APP/DEP,119.200
KMEV,AWOS,AWOS 3,119.325
KMEV,UNIC,CTAF/UNICOM,122.800
KMEY,A/D,SIOUX CITY APP/DEP,124.600
KMEY,UNIC,CTAF/UNICOM,122.800
KMEZ,AWOS,AWOS 3,118.025
KMEZ,CNTR,MEMPHIS CNTR,126.100
KMEZ,UNIC,CTAF/UNICOM,122.800
KMFD,A/D,APP/DEP,124.200
KMFD,ATIS,ATIS,125.300
KMFD,CTAF,CTAF,119.800
KMFD,GND,GND,121.800
KMFD,POST,HERC COMD POST,29.750
KMFD,RDO,CLEVELAND RDO,122.600
KMFD,TWR,TWR,119.800
KMFD,UNIC,UNICOM,122.950
KMFE,A/D,VALLEY APP/DEP,121.000
KMFE,ASOS,ASOS,128.500
KMFE,ATIS,ATIS,128.500
KMFE,CTAF,CTAF,118.500
KMFE,GND,GND,121.800
KMFE,RDO,SAN ANGELO RDO,122.200
KMFE,TWR,TWR,118.500
KMFE,UNIC,UNICOM,122.950
KMFI,ASOS,ASOS,121.575
KMFI,CNTR,MINNEAPOLIS CNTR,124.400
KMFI,RDO,GREEN BAY RDO,122.550
KMFI,UNIC,CTAF/UNICOM,123.000
KMFR,A/D,CASCADE APP/DEP,124.300
KMFR,ATIS,ATIS,127.250
KMFR,CTAF,CTAF,119.400
KMFR,GND,GND,121.800
KMFR,RDO,MC MINNVILLE RDO,122.650
KMFR,TWR,MEDFORD TWR,119.400
KMFR,UNIC,UNICOM,122.950
KMFV,A/D,NORFOLK APP/DEP,126.050
KMFV,AWOS,AWOS 3,118.175
KMFV,UNIC,CTAF/UNICOM,122.800
KMGC,A/D,SOUTH BEND APP/DEP,118.550
KMGC,CLD,SOUTH BEND CLNC DEL,134.800
KMGC,UNIC,CTAF/UNICOM,122.700
KMGE,A/D,ATLANTA  APP/DEP,121.000
